claim_id,claim,population,outcome,certainty,risk_of_bias,inconsistency,indirectness,imprecision,publication_bias,robustness_r,mechanism_m,rationale,status
FP-CERT-BUT-001,"Acute sodium butyrate improves later extinction-memory retrieval in healthy humans","healthy adults","7-day extinction expectancy",LOW,SOME,SOME,LOW,SOME,UNCLEAR,R2,NA,"Single N=180 triple-blind RCT reported a 7-day expectancy benefit only after robust/high-trial extinction; no corresponding clear skin-conductance effect or prevention of reinstatement; effect estimates and independent clinical replication remain unavailable",provisional
FP-CERT-BUT-002,"Butyrate prevents return of fear or reinstatement in humans","healthy adults","reinstatement",VERY_LOW,SOME,SOME,LOW,SOME,UNCLEAR,R1-R2,NA,"The 2026 human trial did not prevent reinstatement",provisional
FP-CERT-BUT-003,"Butyrate improves clinical PTSD exposure therapy","clinical PTSD","PTSD symptoms/function",VERY_LOW,UNCLEAR,UNCLEAR,VERY_SERIOUS,VERY_SERIOUS,UNCLEAR,R0-R1,NA,"No direct clinical PTSD efficacy trial identified in the current corpus",provisional
FP-CERT-LDOPA-001,"Post-extinction L-DOPA reliably improves human extinction retrieval","healthy adults","extinction recall",LOW,SOME,SERIOUS,LOW,SOME,UNCLEAR,R2-R3,NA,"Earlier positive findings were not confirmed as a significant main effect in a preregistered 2024 replication",provisional
FP-CERT-LDOPA-002,"Post-extinction L-DOPA reduces some return-of-fear measures in PTSD","women with PTSD","reinstatement/context renewal",LOW,SOME,SOME,LOW,SOME,UNCLEAR,R2,NA,"Single PTSD laboratory study showed reduced reinstatement but no improved extinction recall",provisional
FP-CERT-LDOPA-003,"L-DOPA improves clinical PTSD treatment outcomes","clinical PTSD","clinical symptoms/function",VERY_LOW,UNCLEAR,UNCLEAR,VERY_SERIOUS,VERY_SERIOUS,UNCLEAR,R0-R1,NA,"No established clinical augmentation efficacy",provisional
FP-CERT-OXY-001,"Intranasal oxytocin reliably improves human fear extinction","healthy humans","extinction learning/recall",VERY_LOW,SOME,VERY_SERIOUS,LOW,SOME,UNCLEAR,R2-R3,NA,"Human findings are directionally inconsistent and a larger 2025 RCT found impaired extinction learning",provisional
FP-CERT-OXY-002,"Oxytocin improves Prolonged Exposure outcomes in PTSD","clinical PTSD","PTSD symptoms",VERY_LOW,SOME,SOME,SOME,VERY_SERIOUS,UNCLEAR,R1-R2,NA,"Small pilot was feasible but symptom differences were not statistically significant",provisional
FP-CERT-LUR-001,"Lurasidone improves extinction-related behavior in selected animal models","preclinical rodents","fear extinction/cognition",LOW,SOME,SOME,LOW,SOME,UNCLEAR,R2,NA,"Rodent SERT-KO and procognitive studies support a preclinical signal",provisional
FP-CERT-LUR-002,"Lurasidone improves human fear extinction or PTSD exposure learning","humans/PTSD","extinction learning/PTSD symptoms",VERY_LOW,UNCLEAR,UNCLEAR,VERY_SERIOUS,VERY_SERIOUS,UNCLEAR,R0-R1,NA,"No direct controlled human fear-extinction/PTSD augmentation evidence identified",provisional
FP-CERT-BEH-KOOISTRA-001,Explicitly focusing on expectancy violation improves immediate exposure outcomes in PTSD,Treatment-seeking adults with PTSD,fear responses and PTSD symptoms at one week,LOW,UNCLEAR,UNCLEAR,LOW,SERIOUS,UNCLEAR,R1-R2,M1,"One small randomized experiment (N=60) found no between-condition differences in fear responses or PTSD symptoms at one week; numeric estimates and precision were not extracted, and longer-term benefit remains untested.",provisional
